id,lessonID,sentence,sentenceTrans,voiceUrl,type
68,33,"Don’t make any mistakes.","Đừng có mắc sai lầm đấy .",NULL,0
69,33,"Don’t mention it.","Không cần khách sáo!",NULL,0
70,33,"Don’t miss the boat.","Đừng bỏ lỡ cơ hội .",NULL,0
71,33,"Don’t take any chances.","Đừng trông chờ vào may mắn .",NULL,0
72,33,"Don’t take it for granted.","Đừng coi đó là điều đương nhiên.",NULL,0
73,33,"Don’t worry about it.","Đừng lo lắng về điều đó .",NULL,0
74,33,"Easy come,easy go.","Nhanh đến , nhanh đi.",NULL,0
75,33,"Enjoy your meal.","Ăn tự nhiên nhé !",NULL,0
76,33,"Easier said than done.","Nói thường dễ hơn làm .",NULL,0
77,33,"First come,first served.","Nhanh chân thì được.",NULL,0
78,33,"For here or to go?","Ăn ở đây hay là mang về .",NULL,0
79,33,"Forget it.","Quên đi ! Thôi đi ! Bỏ qua đi!",NULL,0
80,33,"Forgive me.","Xin lượng thứ cho tôi.",NULL,0
81,33,"Give me a call.","Gọi điện thoại cho tôi nhé !",NULL,0
82,33,"Give my best to your family.","Gửi lời hỏi thăm của tôi tới toàn thể gia đình cậu nhé !",NULL,0
83,33,"Have him return my call.","Bảo nó gọi lại cho tôi nhé !",NULL,0
84,33,"Have you ever been to Japan?","Anh đã từng đến Nhật bao giờ chưa ?",NULL,0
85,33,"Have you finished yet?","Cậu đã làm xong chưa?",NULL,0
86,34,"Have you got anything larger?","Có cái nào lớn hơn chút nữa không ?",NULL,0
87,34,"Have you got that?","Cậu hiểu ý tôi chứ ?",NULL,0
88,34,"Have you heard from Mary?","Cậu có tin tức gì về Mary không?",NULL,0
89,34,"He is in conference.","Anh ấy đang họp .",NULL,0
90,34,"Help yourself,please.","Tự phục vụ nhé !",NULL,0
91,34,"Hold your horses.","Kiên nhẫn một chút nghe!",NULL,0
92,34,"How can I get in touch with you?","Tôi liên lạc vơi cậu bằng cách nào được?",NULL,0
93,34,"How do I look?","Nhìn tôi thế nào ?",NULL,0
94,34,"How is it going?","Tình hình thế nào ?",NULL,0
95,34,"How late are you open?","Các anh mở cửa đến mấy giờ ?",NULL,0
96,34,"How long did it last?","Đã kéo dài bao lâu rồi ?",NULL,0
97,34,"How long will it take me to get there?","Tới đó mất bao lâu ?",NULL,0
98,34,"How much is it?","Bao nhiêu tiền ?",NULL,0
99,34,"How often do you eat out?","Anh có thường ra ngoài ăn không ?",NULL,0
100,34,"I apologize.","Tôi xin lỗi",NULL,0
101,34,"I appreciate your invitation.","Cám ơn lời mời của anh.",NULL,0
102,35,"I assure you.","Tôi đảm bảo với anh đấy !",NULL,0
103,35,"I bet you can.","Tôi tin chắc rằng anh có thể làm được.",NULL,0
104,35,"I can manage.","Tôi có thể tự mình ứng phó được .",NULL,0
105,35,"I can’t afford it.","Tôi mua không nổi .",NULL,0
106,35,"I can’t believe it.","Quả thật tôi không dám tin .",NULL,0
107,35,"I can’t resist the temptation.","Tôi không tài nào cưỡng lại được sựcám dỗ .",NULL,0
108,35,"I can’t stand it.","Tôi không thể chịu đựng nổi nữa .",NULL,0
109,35,"I can’t tell.","Tôi cũng không dám chắc .",NULL,0
110,35,"I couldn’t agree more.","Tôi hoàn toàn đồng ý.",NULL,0
111,35,"I couldn’t get through.","Tôi không gọi được .",NULL,0
112,35,"I couldn’t help it.","Tôi cũng hết cách .",NULL,0
113,35,"I didn’t mean to.","Tôi không cố ý",NULL,0
114,35,"I don’t k now for sure.","Tôi không dám khẳng định .",NULL,0
115,35,"I enjoy your company.","Tôi thích làm việc với anh .",NULL,0
116,35,"I enjoyed it very much.","Tôi rất thích .",NULL,0
117,35,"I envy you.","Tôi rất ngưỡng mộ anh.",NULL,0
118,35,"I feel like having some dumplings","Tôi rất muốn ăn xủi cảo.",NULL,0
119,35,"I feel terrible about it.","Tôi rất lấy làm tiếc. Tôi xin lỗi .",NULL,0
120,35,"I feel the same way.","Tôi cũng có cùng cảm giác như vậy .",NULL,0
121,35,"I have a complaint.","Tôi cần phải kiện .",NULL,0
122,35,"I have nothing to do with it.","Điều đó chẳng có liên quan gì đến tôi cả.",NULL,0
123,35,"I haven’t the slightest idea.","Nó chẳng biết cái quái gì cả .",NULL,0
124,35,"I hope you’ll forgive me.","Tôi hi vọng cậu sẽ tha thứ cho tôi .",NULL,0
125,35,"I know the feeling.","Tôi rất hiểu cảm giác đó .",NULL,0
126,36,"I mean what I say.","Tôi biết những gì mình nói .",NULL,0
127,36,"I owe you one.","Tôi nợ anh .",NULL,0
128,36,"I really regret it.","Quả thật tôi rất lấy làm tiếc .",NULL,0
129,36,"I suppose so.","Tôi nghĩ là như vậy .",NULL,0
130,36,"I thought so, too.","Tôi cũng cho là như vậy",NULL,0
131,36,"I understand completely.","Tôi hoàn toàn hiểu được.",NULL,0
132,36,"I want to report a theft.","Tôi muốn báo công an về vụ án ăn trộm .",NULL,0
133,36,"I want to reserve a room.","Tôi muốn đặt một phòng .",NULL,0
134,36,"I was just about to call you.","Tôi đang chuẩn bị gọi cho anh .",NULL,0
135,36,"I was moved","Tôi rất cảm động .",NULL,0
136,36,"I wasn’t aware of that.","Tôi không ý thức được điều đó .",NULL,0
137,36,"I wasn’t born yesterday.","Tôi không phải là đứa trẻ lên ba .",NULL,0
138,36,"I wish I could.","Ước gì tôi có thể .",NULL,0
139,36,"I wouldn’t worry a bout it, if I we’re you","Nếu tôi là anh , tôi sẽ chẳng có gì phải lo lắng vì nó cả .",NULL,0
140,36,"I’d like a refund.","Tôi muốn được trả lại tiền .",NULL,0
141,36,"I’d like to depos it some money.","Tôi muốn gửi ít tiền .",NULL,0
142,36,"I’d like to make a reservation.","Tôi muốn đặt vé .",NULL,0
143,36,"I’ll be right with you.","Tôi tới ngay đây .",NULL,0
144,36,"I’ll check it.","Để tôi đi kiểm tra lại .",NULL,0
145,36,"I’ll do my best.","Tôi sẽ cố gắng hết sức.",NULL,0
146,36,"I’ll get it.","Để tôi đi nghe điện thoại .",NULL,0
147,36,"I’ll give you a hand.","Tôi sẽ giúp cậu một tay.",NULL,0
148,36,"I’ll have to see about that.","Về việc này tôi phải nghĩ một chút rồi mới quyết định .",NULL,0
